DW_TEMPO;invoice_date;Ano;Mes;Dia;Trimestre
d22bcce4dc1d929ca7c700ded839773f989bd064ae323a8074c4c79de0d7086c;2017-09-17 00:00:00;2017;9;17;3
803eec8f937ff660e5935cfb4f195b294f15985184c8257937fb556e1713e58b;2017-01-20 00:00:00;2017;1;20;1
3bbf4ead232a40809ea79fe03234f03f5f5fff3489ac62c6e4dc6e392e414624;2017-03-30 00:00:00;2017;3;30;1
22dc25429c577a7f845fa47be013a99c660a9c90ba4aa3faeddf7efb5e17840a;2018-11-20 00:00:00;2018;11;20;4
6e96670107ba8099e468a45d148bc05763fb67a2bf3fb19c26348045b10acce7;2017-08-25 00:00:00;2017;8;25;3
a4d77395dca7f005e5a2900539781d48b89b860d3f9ddee361b6f4db5cd0f9c4;2018-02-11 00:00:00;2018;2;11;1
92472854f19c035b88874e02ab1449ad5b301997380b8fd88446a9fc59d136a1;2017-06-15 00:00:00;2017;6;15;2
429724389fda907e5396652b1b7dd0a4bc2d1fffe9365e9f770c04032e092e47;2019-02-13 00:00:00;2019;2;13;1
df4b7cf9e9d4a5c54a3953a93f32dfa8ac907cb8851baf5e4dc79d683e395e78;2017-02-25 00:00:00;2017;2;25;1
97f27bbf7033068201ea2aa77b71fef063e93efcf03d8caafc25312332b2fc3c;2019-01-17 00:00:00;2019;1;17;1
3352f2602b667b3e3940d931bddfa2db2b9c2c1b708dfe9b10403f99e669409b;2018-10-23 00:00:00;2018;10;23;4
b1837319ad65040dc9f63992e3994c79bcbf1611959f99d40099bab274ff2273;2017-03-03 00:00:00;2017;3;3;1
5f5815b2a7d92bfaf353d97db5e1572327c76dae25188db411cd56f8fcab6a64;2018-02-19 00:00:00;2018;2;19;1
3d8aaa88e56ee4b70ea9e55aa02ad9c95382ab38eeda24d4f1668948ed9db969;2017-07-07 00:00:00;2017;7;7;3
dedabc10bcb618530052ee93a40f8a31ec96d294b19896ad870a296dccba9d35;2018-04-09 00:00:00;2018;4;9;2
a91b6ca091d0efac9e9fc2deaa005e33958b5e55576f2701c778440f938f0a40;2018-10-03 00:00:00;2018;10;3;4
